State   County  Year    UFOSightingCount   Population_Density   Housing_Density Urban_Rural
Missouri  adair  1998  1  44.1  19.1   Rural
Massachusetts  norfolk  1998  1  1627.5  638.6   Urban
Montana  silver bow  2002  3  47.6  23.3   Rural
Illinois  mcdonough  1999  1  55.9  22.6   Rural
Arkansas  carroll  1999  1  40.2  18.8   Rural
Missouri  wayne  1997  1  17.4  9.8   Rural
Nebraska  dodge  2001  1  69.4  31.4   Rural
New Hampshire  rockingham  2008  5  425.0  182.4   Rural
Michigan  ottawa  2004  4  468.2  181.9   Rural
Wisconsin  green  2001  1  63.1  27.2   Rural
Maine  york  2010  3  199.0  106.8   Rural
Pennsylvania  northampton  2004  1  805.4  325.6   Rural
New York  new york  2001  31  69468.4  37106.4   Urban
Washington  kitsap  1996  28  585.8  234.0   Rural
North Carolina  edgecombe  2002  1  111.9  49.2   Rural
South Carolina  anderson  2008  1  261.6  118.5   Rural
Florida  lee  2007  6  788.7  473.0   Rural
Hawaii  maui  2001  2  133.3  60.6   Rural
Michigan  delta  2008  1  31.7  17.3   Rural
Texas  parker  2003  2  129.4  51.6   Rural
Nevada  elko  2000  1  2.6  1.1   Rural
Nebraska  scotts bluff  2009  1  50.0  22.2   Rural
Georgia  polk  1999  1  122.5  48.4   Rural
Pennsylvania  delaware  2005  6  3040.5  1212.5   Urban
California  plumas  2006  1  7.8  6.1   Rural
Indiana  knox  2005  2  74.5  33.0   Rural
Pennsylvania  lackawanna  2001  2  467.1  210.9   Rural
Michigan  sanilac  2001  1  44.8  23.6   Rural
Colorado  montrose  2008  1  18.4  8.1   Rural
North Dakota  cass  2004  2  84.9  38.5   Rural
Texas  brown  1999  1  39.9  19.0   Rural
North Carolina  catawba  2003  1  387.1  170.3   Rural
California  mono  1999  2  4.2  3.9   Rural
Nebraska  brown  2007  2  2.6  1.5   Rural
Wisconsin  milwaukee  1998  4  3892.1  1656.3   Urban
Florida  putnam  2002  1  102.2  51.3   Rural
Pennsylvania  bradford  2006  2  54.6  26.1   Rural
Indiana  cass  2006  1  94.5  40.0   Rural
North Carolina  jackson  2003  3  82.1  52.9   Rural
Colorado  el paso  1998  8  243.1  95.2   Rural
Tennessee  polk  1998  1  36.9  16.9   Rural
Wisconsin  trempealeau  2002  1  39.3  17.2   Rural
Ohio  clermont  2006  7  436.5  178.4   Rural
Nevada  clark  2010  17  247.3  106.5   Rural
Nevada  nye  2002  2  2.4  1.2   Rural
Kentucky  garrard  2000  1  64.0  27.7   Rural
Ohio  geauga  2005  1  233.4  91.4   Rural
Georgia  chatham  2010  1  621.7  279.8   Rural
Florida  duval  1992  1  1006.7  426.3   Rural
Pennsylvania  franklin  2003  1  193.7  81.9   Rural
California  merced  1998  1  109.2  35.5   Rural
Washington  cowlitz  2002  2  89.8  38.1   Rural
South Carolina  dorchester  2000  2  167.8  64.8   Rural
Texas  brazoria  2004  5  230.7  87.2   Rural
California  los angeles  1992  4  2344.2  805.5   Urban
Indiana  monroe  2008  1  349.7  149.8   Rural
Texas  tarrant  2005  19  2094.7  827.7   Urban
Indiana  vanderburgh  2004  1  769.7  355.5   Rural
Nebraska  lancaster  2008  5  340.8  144.3   Rural
Arizona  apache  2004  1  6.4  2.9   Rural
Tennessee  hardin  2006  1  45.1  24.2   Rural
California  san luis obispo  2005  4  81.7  35.6   Rural
Washington  stevens  1999  4  16.2  7.1   Rural
Tennessee  houston  2007  1  42.1  20.9   Rural
Arizona  pima  2010  4  106.7  48.0   Rural
California  marin  1999  6  475.7  202.0   Rural
Michigan  berrien  2000  1  284.5  128.6   Rural
South Carolina  cherokee  2004  3  140.9  61.1   Rural
Idaho  idaho  2000  1  1.8  0.9   Rural
Iowa  scott  2010  3  360.7  156.8   Rural
South Carolina  orangeburg  2005  1  83.6  38.4   Rural
Wisconsin  la crosse  1995  1  236.6  96.0   Rural
Texas  harris  1999  3  1967.0  750.9   Urban
Missouri  bates  2005  1  20.4  9.4   Rural
Michigan  macomb  2005  4  1754.9  744.2   Urban
Washington  okanogan  1998  3  7.5  3.6   Rural
Kansas  butler  2009  3  46.1  18.2   Rural
Oregon  linn  2008  3  50.9  21.3   Rural
Idaho  twin falls  2004  2  40.2  16.2   Rural
Michigan  muskegon  2002  1  344.9  147.3   Rural
Washington  grant  1999  4  27.9  10.8   Rural
Ohio  hamilton  2006  1  1976.7  929.7   Urban
Tennessee  humphreys  2010  1  34.9  16.7   Rural
Missouri  clay  2006  2  558.6  236.4   Rural
Virginia  bath  2010  1  8.9  6.2   Rural
Illinois  iroquois  1998  1  28.1  12.0   Rural
South Carolina  barnwell  2008  1  41.2  19.1   Rural
Colorado  gunnison  1998  1  4.3  2.8   Rural
Oklahoma  garvin  2007  1  34.4  16.0   Rural
Ohio  pickaway  1999  3  105.1  37.1   Rural
New Jersey  morris  1995  3  1002.6  371.8   Rural
New Jersey  ocean  1998  1  803.0  390.9   Rural
Michigan  genesee  2006  6  668.5  301.7   Rural
Pennsylvania  lebanon  2009  1  369.1  153.6   Rural
Pennsylvania  lehigh  2008  5  1012.5  413.2   Rural
Missouri  jackson  1995  1  1082.7  476.5   Rural
Oregon  multnomah  2009  1  1704.9  753.2   Urban
Connecticut  litchfield  1996  1  198.1  86.2   Rural
Minnesota  dakota  1995  1  624.9  234.8   Rural
Pennsylvania  york  2005  2  481.1  197.6   Rural
California  solano  2003  7  503.0  185.8   Rural
North Carolina  brunswick  2004  3  126.8  91.5   Rural
Arizona  cochise  2003  3  21.3  9.6   Rural
Texas  el paso  2000  1  670.8  221.5   Rural
Nebraska  red willow  2009  1  15.4  7.3   Rural
Oklahoma  jackson  2001  1  32.9  15.0   Rural
New York  erie  2006  9  881.4  402.8   Rural
Iowa  allamakee  2010  1  22.4  11.9   Rural
Georgia  union  2001  2  66.3  43.6   Rural
Texas  bexar  2002  1  1383.1  534.7   Urban
Minnesota  anoka  2004  15  782.1  299.5   Rural
Missouri  camden  1994  1  56.6  51.1   Rural
Kansas  rice  2006  1  13.9  6.3   Rural
Pennsylvania  blair  2003  1  241.7  107.0   Rural
North Carolina  burke  2000  2  175.9  73.9   Rural
Texas  johnson  1997  1  173.9  63.4   Rural
Utah  salt lake  2007  4  1387.1  490.4   Rural
Texas  jim wells  2007  1  47.2  18.7   Rural
Tennessee  sullivan  2005  3  379.4  178.4   Rural
Washington  clark  1997  1  549.5  213.3   Rural
Texas  howard  2003  1  38.9  14.6   Rural
Tennessee  montgomery  2010  2  319.6  130.0   Rural
Oklahoma  cleveland  1995  1  388.0  158.3   Rural
California  riverside  2002  14  303.8  111.1   Rural
New Mexico  grant  2002  1  7.4  3.7   Rural
California  lassen  2000  1  7.4  2.6   Rural
Indiana  hamilton  1994  2  459.2  174.6   Rural
Florida  lake  1997  1  220.9  107.9   Rural
Illinois  mcdonough  2006  1  55.3  24.5   Rural
Minnesota  koochiching  2006  2  4.3  2.5   Rural
Wisconsin  waukesha  2001  1  709.4  292.7   Rural
Indiana  decatur  1999  1  65.9  26.8   Rural
New Hampshire  rockingham  2001  1  425.0  182.4   Rural
Washington  grays harbor  2001  1  38.3  18.5   Rural
North Carolina  mitchell  2002  1  70.4  39.3   Rural
New Jersey  middlesex  2005  9  2621.6  954.3   Urban
Pennsylvania  bucks  1997  1  984.0  371.3   Rural
Maine  york  2001  2  199.0  106.8   Rural
Wisconsin  kenosha  2008  2  611.9  254.7   Rural
North Carolina  edgecombe  2009  1  111.9  49.2   Rural
Virginia  grayson  2010  1  35.1  20.7   Rural
Missouri  johnson  1999  1  58.1  22.7   Rural
Georgia  mcintosh  2003  1  33.8  21.7   Rural
Wisconsin  oconto  2007  1  37.7  23.6   Rural
South Carolina  anderson  2001  2  261.6  118.5   Rural
Washington  snohomish  1998  22  290.1  113.1   Rural
Hawaii  maui  2008  1  133.3  60.6   Rural
Mississippi  lamar  2004  1  112.0  48.4   Rural
Rhode Island  kent  1997  2  981.9  413.5   Rural
Oklahoma  creek  1998  4  70.5  29.3   Rural
Idaho  latah  2008  1  34.6  14.9   Rural
Oregon  marion  1996  2  240.6  91.4   Rural
North Carolina  polk  2007  1  86.3  48.1   Rural
North Carolina  guilford  1996  2  648.3  277.8   Rural
Wisconsin  waupaca  2004  1  70.1  34.0   Rural
Texas  nacogdoches  2007  2  68.2  29.0   Rural
Ohio  mahoning  1996  1  620.2  269.1   Rural
New Jersey  atlantic  1996  2  450.1  203.3   Rural
Georgia  catoosa  2003  1  394.3  164.1   Rural
Pennsylvania  lackawanna  2008  4  467.1  210.9   Rural
Missouri  phelps  2006  1  67.2  29.1   Rural
Tennessee  sevier  2004  1  151.7  94.4   Rural
South Carolina  chesterfield  1998  1  53.6  23.6   Rural
Arkansas  greene  2004  1  72.9  31.0   Rural
North Carolina  catawba  2008  4  387.1  170.3   Rural
California  orange  2005  31  3807.7  1326.8   Urban
Tennessee  smith  2009  1  61.0  27.1   Rural
Nebraska  webster  1997  1  7.1  3.4   Rural
California  sacramento  1992  2  1267.0  491.7   Rural
Washington  thurston  2004  10  349.4  149.8   Rural
Ohio  fayette  2007  1  71.4  31.2   Rural
Arkansas  washington  2000  3  166.1  67.7   Rural
Ohio  fulton  1992  1  103.5  39.9   Rural
Illinois  christian  2002  2  49.1  21.9   Rural
North Carolina  iredell  2007  3  277.8  120.3   Rural
Colorado  el paso  2005  8  292.6  118.9   Rural
Missouri  platte  2010  1  212.6  93.3   Rural
Virginia  stafford  2008  2  479.5  163.5   Rural
Wisconsin  sauk  2003  1  74.6  35.8   Rural
Ohio  clermont  1999  5  393.8  153.2   Rural
Connecticut  new london  2007  5  412.2  182.0   Rural
Illinois  richland  1999  1  44.8  20.7   Rural
Minnesota  douglas  1996  1  51.7  26.3   Rural
New York  cortland  2009  1  98.9  41.3   Rural
North Carolina  moore  2003  1  126.5  63.0   Rural
Indiana  jasper  2006  1  59.8  23.5   Rural
Massachusetts  bristol  2009  2  991.3  416.8   Rural
Kentucky  calloway  2004  1  96.6  46.9   Rural
North Carolina  alexander  2009  1  143.1  62.3   Rural
Arkansas  searcy  2010  1  12.3  7.4   Rural
Iowa  sac  2005  1  18.0  9.4   Rural
New York  broome  2006  3  284.2  128.3   Rural
Georgia  effingham  2009  1  109.4  41.6   Rural
Arizona  yuma  1993  1  29.0  13.4   Rural
California  los angeles  2001  78  2419.6  849.0   Urban
New York  sullivan  1994  1  76.3  46.1   Rural
Indiana  monroe  2001  2  349.7  149.8   Rural
Georgia  gordon  2003  1  155.1  62.6   Rural
Nebraska  buffalo  1991  1  43.7  17.4   Rural
Indiana  vanderburgh  1997  1  732.9  325.3   Rural
Nebraska  lancaster  2003  2  340.8  144.3   Rural
Arkansas  baxter  2003  1  74.9  40.7   Rural
Missouri  randolph  2006  2  52.7  22.2   Rural
Colorado  adams  2004  2  378.2  139.7   Rural
Georgia  white  1999  1  82.6  39.1   Rural
South Carolina  york  2005  1  332.2  138.4   Rural
New Jersey  essex  2010  2  6211.5  2479.6   Urban
Arizona  pima  2001  8  106.7  48.0   Rural
Illinois  macon  2010  2  190.8  86.9   Rural
Georgia  carroll  1999  1  174.9  68.3   Rural
New York  greene  2005  2  76.1  45.1   Rural
Wisconsin  la crosse  2000  3  236.6  96.0   Rural
Texas  harris  2004  5  2402.4  938.5   Urban
Florida  pinellas  2010  1  3347.5  1839.4   Urban
Minnesota  nicollet  2000  1  65.8  24.9   Rural
Pennsylvania  dauphin  2006  7  510.6  229.3   Rural
Texas  smith  2002  1  227.6  94.8   Rural
Georgia  lowndes  2005  1  220.2  88.5   Rural
Texas  llano  2002  1  20.7  15.3   Rural
Colorado  pueblo  2003  5  66.7  29.1   Rural
Kentucky  rowan  2005  2  83.4  36.1   Rural
North Carolina  cherokee  1995  1  53.4  29.7   Rural
Maryland  montgomery  2002  4  1978.2  765.2   Urban
Washington  grant  2006  5  33.3  13.1   Rural
Ohio  hamilton  2009  1  1976.7  929.7   Urban
Tennessee  knox  2007  2  850.5  383.6   Rural
California  santa barbara  2005  14  155.0  55.9   Rural
Missouri  clay  1999  2  464.3  192.3   Rural
Texas  cooke  2008  1  43.9  19.0   Rural
Oregon  polk  2009  1  101.8  40.9   Rural
South Carolina  barnwell  2007  1  41.2  19.1   Rural
Colorado  gunnison  2007  1  4.7  3.5   Rural
Vermont  rutland  2002  2  66.3  36.3   Rural
Texas  lubbock  2004  1  311.3  128.5   Rural
New Jersey  ocean  2001  3  917.0  442.2   Rural
Oregon  deschutes  2007  2  52.3  26.6   Rural
Illinois  knox  2009  2  73.9  33.6   Rural
Pennsylvania  lehigh  2001  1  1012.5  413.2   Rural
Pennsylvania  mercer  2001  1  173.4  76.9   Rural
Minnesota  dakota  2002  1  709.0  283.9   Rural
Michigan  kalamazoo  2008  5  445.7  195.9   Rural
Washington  san juan  2001  1  90.7  76.5   Rural
California  solano  2010  6  503.0  185.8   Rural
Ohio  ashtabula  1995  2  146.2  62.3   Rural
Colorado  douglas  2008  8  339.7  127.2   Rural
California  amador  2000  2  59.2  25.4   Rural
Washington  whitman  2006  1  20.7  8.9   Rural
Colorado  arapahoe  2002  10  716.7  298.6   Rural
California  santa clara  2003  30  1381.0  489.8   Rural
Indiana  tippecanoe  2001  2  345.7  142.2   Rural
Oklahoma  tulsa  2005  2  1058.1  470.7   Rural
Texas  bexar  2009  1  1383.1  534.7   Urban
California  stanislaus  1999  3  299.2  101.0   Rural
Minnesota  wabasha  2000  1  41.2  17.3   Rural
Washington  jefferson  2001  1  16.6  9.9   Rural
Missouri  camden  2001  1  67.1  62.8   Rural
Michigan  eaton  1991  1  179.8  73.1   Rural
Pennsylvania  blair  2010  1  241.7  107.0   Rural
Oregon  lake  1995  1  0.9  0.5   Rural
California  mariposa  2000  1  11.8  6.1   Rural
Ohio  wood  1997  1  196.1  76.9   Rural
West Virginia  mason  2000  1  60.1  27.9   Rural
Kansas  nemaha  1999  1  14.9  6.0   Rural
Mississippi  tishomingo  2008  1  46.2  24.3   Rural
Pennsylvania  erie  1994  1  350.2  142.6   Rural
Indiana  gibson  2003  1  68.7  30.0   Rural
Maine  aroostook  1995  1  11.1  5.8   Rural
Georgia  banks  2007  1  79.3  32.7   Rural
Washington  clark  2010  15  676.2  266.2   Rural
Maine  washington  1998  3  13.2  8.5   Rural
Tennessee  montgomery  2005  3  319.6  130.0   Rural
Oregon  benton  1999  3  115.5  47.3   Rural
California  riverside  1993  2  214.4  81.1   Rural
Florida  seminole  1997  1  1184.9  477.2   Rural
Kansas  sumner  2007  1  20.4  9.2   Rural
Florida  lake  2006  4  316.6  154.5   Rural
Pennsylvania  indiana  2010  1  107.5  46.2   Rural
New York  clinton  2000  1  76.9  31.9   Rural
New Jersey  hudson  2000  1  13043.6  5153.8   Urban
California  alameda  1997  4  1957.4  732.4   Urban
Massachusetts  worcester  2008  9  528.6  216.3   Rural
Missouri  montgomery  1996  1  22.6  10.7   Rural
Wisconsin  waukesha  2010  4  709.4  292.7   Rural
Washington  grays harbor  2008  1  38.3  18.5   Rural
North Carolina  mitchell  1997  1  70.8  35.8   Rural
North Carolina  greene  1999  1  71.5  27.8   Rural
Colorado  moffat  2008  1  2.9  1.3   Rural
Wisconsin  kenosha  2007  2  611.9  254.7   Rural
New York  new york  1991  2  66940.1  34756.7   Urban
Ohio  butler  2006  1  788.2  317.5   Rural
Rhode Island  newport  2005  1  809.6  408.2   Rural
Texas  denton  2004  10  754.3  291.6   Rural
Florida  brevard  2000  13  467.7  218.1   Rural
Maryland  harford  2000  3  496.4  188.8   Rural
West Virginia  berkeley  2008  3  324.4  139.4   Rural
Kentucky  christian  2000  1  100.2  37.7   Rural
Washington  walla walla  1998  1  43.4  16.6   Rural
New Hampshire  merrimack  2007  3  156.8  68.0   Rural
New Hampshire  cheshire  2008  3  109.1  49.2   Rural
Oklahoma  creek  1991  1  70.5  29.3   Rural
Idaho  latah  2001  2  34.6  14.9   Rural
South Carolina  darlington  2007  2  122.4  54.0   Rural
North Carolina  guilford  2005  5  756.4  337.6   Rural
Maine  somerset  1999  2  13.0  7.2   Rural
New Jersey  atlantic  2007  1  494.1  227.9   Rural
Georgia  catoosa  2010  1  394.3  164.1   Rural
Connecticut  new haven  1993  2  1360.6  562.6   Urban
Pennsylvania  westmoreland  2008  4  355.4  163.7   Rural
California  mono  2001  1  4.7  4.6   Rural
Florida  orange  1999  1  987.8  398.2   Rural
California  fresno  2000  9  134.1  45.4   Rural
Mississippi  itawamba  1998  1  42.8  18.4   Rural
Alaska  kenai peninsula  2001  1  3.4  1.9   Rural
New York  essex  1999  1  21.6  12.9   Rural
Kansas  johnson  1991  1  946.1  380.9   Rural
Georgia  walton  2007  2  257.2  99.6   Rural
Vermont  bennington  2005  1  55.0  31.0   Rural
Virginia  stafford  2001  1  479.5  163.5   Rural
West Virginia  ohio  2000  1  446.7  208.8   Rural
Idaho  minidoka  1999  1  26.6  9.9   Rural
New Hampshire  belknap  1998  2  140.4  80.0   Rural
Montana  glacier  2002  1  4.5  1.8   Rural
Georgia  gwinnett  2002  4  1871.2  677.4   Urban
Michigan  osceola  2004  1  41.5  24.1   Rural
New Mexico  cibola  2002  1  6.0  2.4   Rural
Kentucky  hardin  2007  1  169.3  69.4   Rural
Ohio  washington  1999  2  99.6  43.7   Rural
Alaska  fairbanks north star  1999  2  11.2  4.5   Rural
Illinois  mclean  2007  4  143.3  58.9   Rural
Massachusetts  bristol  2000  3  961.7  390.1   Rural
Oregon  josephine  2008  7  50.4  23.2   Rural
Nevada  lincoln  2003  2  0.5  0.3   Rural
Pennsylvania  beaver  2010  1  392.3  179.9   Rural
Illinois  champaign  2005  1  201.8  87.9   Rural
Virginia  loudoun  1999  2  326.2  119.6   Rural
Colorado  ouray  2007  1  8.2  5.7   Rural
Illinois  lee  2008  1  49.7  20.8   Rural
Georgia  effingham  2000  1  78.3  29.6   Rural
Missouri  cape girardeau  2002  1  130.8  56.4   Rural
North Carolina  cleveland  2002  1  211.3  93.4   Rural
Idaho  valley  1994  1  2.1  2.2   Rural
Michigan  lapeer  1998  1  134.4  50.0   Rural
South Carolina  dorchester  1998  2  167.8  64.8   Rural
California  los angeles  2010  74  2419.6  849.0   Urban
Texas  eastland  2002  1  20.1  11.1   Rural
Pennsylvania  somerset  2010  1  72.4  35.5   Rural
Iowa  kossuth  2009  1  16.0  7.7   Rural
Missouri  carter  2003  2  12.3  6.4   Rural
Texas  rockwall  2007  1  616.7  219.9   Rural
Nebraska  buffalo  1998  1  43.7  17.4   Rural
Illinois  kendall  2008  2  358.2  125.9   Rural
Oregon  union  1999  4  12.0  5.2   Rural
California  ventura  2003  15  446.7  152.8   Rural
Mississippi  sunflower  1995  1  49.5  14.9   Rural
Idaho  cassia  2005  1  8.9  3.3   Rural
Michigan  saginaw  2009  1  250.2  108.5   Rural
Iowa  jones  2002  1  35.9  15.5   Rural
California  sonoma  2009  15  307.1  129.8   Rural
New York  herkimer  2009  4  45.7  23.6   Rural
New Jersey  essex  2005  3  6211.5  2479.6   Urban
South Carolina  york  2010  1  332.2  138.4   Rural
Wisconsin  grant  1996  1  43.2  17.4   Rural
South Carolina  beaufort  2009  2  281.5  161.4   Rural
Minnesota  itasca  2004  1  16.9  10.1   Rural
Ohio  franklin  1998  1  1980.1  872.5   Urban
Florida  pinellas  2003  5  3347.5  1839.4   Urban
Colorado  huerfano  2005  1  4.2  3.2   Rural
Arkansas  union  2009  2  40.1  18.9   Rural
New Mexico  chaves  2009  2  10.8  4.4   Rural
Wisconsin  la crosse  2009  4  253.8  107.2   Rural
South Carolina  berkeley  2010  1  161.8  66.8   Rural
Colorado  mesa  2002  1  44.1  18.8   Rural
Arkansas  independence  2008  1  48.0  21.2   Rural
Colorado  alamosa  1997  1  20.7  8.4   Rural
Ohio  clark  2003  2  348.0  154.5   Rural
California  mendocino  2009  3  25.1  11.5   Rural
New York  niagara  2000  1  420.4  183.0   Rural
Vermont  washington  2001  2  86.6  43.6   Rural
Alabama  talladega  2008  2  111.7  50.3   Rural
Iowa  lee  2009  1  69.3  31.3   Rural
Indiana  steuben  2004  1  110.7  62.7   Rural
Colorado  otero  2001  1  14.9  7.1   Rural
New Jersey  warren  2007  2  304.5  125.9   Rural
Maine  androscoggin  2000  2  220.7  97.7   Rural
West Virginia  wayne  2002  1  84.0  38.0   Rural
Arizona  maricopa  1999  28  333.8  135.8   Rural
North Carolina  perquimans  2007  1  54.4  28.3   Rural
New Jersey  ocean  2008  4  917.0  442.2   Rural
Wisconsin  jackson  2000  1  19.3  8.1   Rural
Illinois  knox  2000  2  78.0  33.1   Rural
Oregon  multnomah  1995  1  1517.6  663.0   Urban
Michigan  gratiot  2000  1  74.2  27.2   Rural
Minnesota  dakota  2009  10  709.0  283.9   Rural
Illinois  jackson  1997  1  101.4  45.6   Rural
Michigan  kalamazoo  2003  3  445.7  195.9   Rural
Kansas  kearny  1998  1  5.2  1.9   Rural
Washington  san juan  2008  3  90.7  76.5   Rural
Alabama  madison  2000  2  343.8  149.4   Rural
Idaho  bonneville  1997  1  44.2  16.3   Rural
Colorado  douglas  2003  9  339.7  127.2   Rural
New Mexico  sandoval  1997  3  24.2  9.4   Rural
Maryland  calvert  1998  1  346.5  128.2   Rural
Washington  whitman  1999  1  18.9  7.7   Rural
Michigan  washtenaw  1995  1  454.8  184.6   Rural
Arizona  coconino  1993  2  6.2  2.9   Rural
Indiana  tippecanoe  2008  2  345.7  142.2   Rural
Maryland  frederick  2006  1  353.5  136.5   Rural
Texas  dallas  2000  3  2522.6  971.0   Urban
Rhode Island  providence  1997  1  1504.1  612.7   Urban
Pennsylvania  lycoming  2003  2  94.5  42.7   Rural
Massachusetts  hampden  2006  3  751.0  311.4   Rural
Washington  jefferson  2008  1  16.6  9.9   Rural
Washington  douglas  1995  2  17.9  7.1   Rural
Illinois  lake  2006  8  1585.6  586.7   Urban
Wisconsin  juneau  1995  1  31.7  16.1   Rural
West Virginia  ritchie  2005  1  23.1  12.9   Rural
New Jersey  mercer  2004  5  1632.2  637.6   Urban
Nevada  washoe  1997  9  53.5  22.7   Rural
New York  saratoga  1993  1  247.1  106.8   Rural
California  tuolumne  2002  1  24.9  14.1   Rural
Illinois  will  2002  2  809.6  283.8   Rural
Washington  clark  2003  8  676.2  266.2   Rural
Ohio  lorain  2002  3  613.6  258.7   Rural
Georgia  fulton  2004  3  1748.0  830.0   Urban
Georgia  camden  2007  2  82.4  34.4   Rural
Florida  seminole  2006  9  1367.0  586.3   Urban
Indiana  hamilton  2008  21  696.4  270.8   Rural
Georgia  washington  2004  2  31.2  13.3   Rural
New Jersey  hudson  2009  6  13731.4  5852.5   Urban
California  alameda  2004  27  2043.6  788.3   Urban
Massachusetts  worcester  2003  6  528.6  216.3   Rural
Mississippi  jones  2000  1  93.6  38.8   Rural
California  calaveras  2009  2  44.7  27.4   Rural
Washington  grays harbor  1999  5  35.1  16.9   Rural
California  imperial  2002  2  41.8  13.4   Rural
Georgia  cobb  1995  3  1786.7  698.3   Urban
Ohio  seneca  2005  1  103.0  43.8   Rural
Florida  marion  2004  3  209.1  103.5   Rural
Arkansas  woodruff  2003  1  12.4  6.6   Rural
Colorado  moffat  2003  1  2.9  1.3   Rural
Wyoming  campbell  2002  2  9.6  3.9   Rural
Wyoming  uinta  2005  1  10.1  4.2   Rural
New York  new york  1996  5  66940.1  34756.7   Urban
Texas  denton  1997  1  487.3  189.2   Rural
Illinois  madison  2009  3  376.3  163.7   Rural
Wisconsin  dodge  2001  1  101.4  42.3   Rural
Maryland  harford  2009  2  560.1  218.6   Rural
Kentucky  mercer  2004  1  85.7  40.0   Rural
New Jersey  monmouth  1996  1  1303.8  510.4   Urban
Georgia  bartow  2007  2  217.9  86.7   Rural
Texas  orange  1994  1  238.4  97.6   Rural
Pennsylvania  montgomery  1995  3  1552.6  615.7   Urban
Wisconsin  dunn  2007  2  51.6  21.1   Rural
Oklahoma  creek  2008  10  73.6  31.3   Rural
Virginia  northumberland  2008  1  64.5  47.0   Rural
Oregon  marion  2002  6  266.7  102.3   Rural
California  napa  2007  1  182.4  73.2   Rural
North Dakota  benson  2001  1  4.8  2.1   Rural
New York  oswego  2003  1  128.3  56.3   Rural
Montana  park  2000  1  5.6  2.9   Rural
Michigan  sanilac  1994  1  46.2  22.1   Rural
Nevada  lyon  2006  1  26.0  11.3   Rural
Oklahoma  carter  2008  2  57.8  25.7   Rural
New York  rockland  2008  2  1795.9  599.6   Urban
Connecticut  new haven  2002  6  1426.7  598.8   Urban
Pennsylvania  westmoreland  2001  8  355.4  163.7   Rural
Minnesota  isanti  2010  1  86.8  35.2   Rural
Illinois  effingham  1999  1  71.6  29.2   Rural
California  sacramento  2006  15  1470.8  576.3   Urban
Oklahoma  kiowa  2009  1  9.3  5.1   Rural
Oklahoma  cotton  2010  1  9.8  4.8   Rural
North Carolina  granville  2008  1  112.7  42.9   Rural
Ohio  fulton  2006  1  105.3  42.9   Rural
Washington  benton  1993  1  83.7  32.9   Rural
Florida  broward  2003  13  1444.9  669.9   Urban
Michigan  emmet  2004  2  69.9  45.6   Rural
Pennsylvania  huntingdon  2004  1  52.5  25.6   Rural
Florida  orange  2008  4  1268.5  540.0   Urban
Texas  galveston  2008  3  769.9  350.2   Rural
Kansas  johnson  1996  1  946.1  380.9   Rural
Indiana  cass  1997  1  99.1  40.3   Rural
Vermont  bennington  1998  1  54.7  28.7   Rural
West Virginia  upshur  1996  1  66.0  30.3   Rural
Illinois  sangamon  1995  2  217.6  98.4   Rural
Ohio  lake  2005  2  1011.2  444.9   Rural
Kentucky  edmonson  2000  1  38.5  20.2   Rural
California  modoc  2005  2  2.5  1.3   Rural
Mississippi  forrest  1999  2  155.6  64.1   Rural
Florida  hillsborough  1995  5  950.6  405.3   Rural
New Mexico  catron  2004  1  0.5  0.5   Rural
Virginia  alleghany  2007  2  36.5  18.1   Rural
California  san mateo  1998  6  1574.7  580.3   Urban
Alaska  fairbanks north star  2006  2  13.3  5.7   Rural
Utah  tooele  2003  3  8.4  2.8   Rural
Oregon  josephine  2001  4  50.4  23.2   Rural
Indiana  allen  2007  5  540.6  231.5   Rural
North Carolina  warren  2004  1  48.9  27.6   Rural
Florida  clay  2007  1  315.8  124.9   Rural
North Carolina  stanly  2007  1  153.3  68.6   Rural
Pennsylvania  beaver  2005  1  392.3  179.9   Rural
Mississippi  marshall  2007  1  52.6  21.1   Rural
Oklahoma  muskogee  2003  3  87.6  38.1   Rural
Colorado  gilpin  2001  1  36.3  23.7   Rural
Pennsylvania  adams  2007  3  195.5  78.7   Rural
Georgia  effingham  1999  1  78.3  29.6   Rural
Nevada  douglas  2002  1  66.2  33.4   Rural
Kentucky  mccracken  2002  1  263.6  124.9   Rural
Illinois  mchenry  2003  3  511.9  192.4   Rural
California  san bernardino  2006  17  101.5  34.9   Rural
Georgia  floyd  1999  2  176.5  71.4   Rural
Iowa  linn  2004  2  294.6  128.7   Rural
California  ventura  2008  15  446.7  152.8   Rural
Pennsylvania  clearfield  2008  2  71.3  33.8   Rural
Michigan  saginaw  2000  4  259.6  105.7   Rural
Iowa  worth  2004  1  19.0  8.9   Rural
Wisconsin  pierce  2005  1  71.5  28.1   Rural
California  sonoma  2000  10  291.0  116.2   Rural
Illinois  monroe  2001  1  85.6  34.8   Rural
Indiana  noble  2001  1  115.7  48.9   Rural
Kentucky  laurel  2007  1  135.6  58.6   Rural
South Carolina  beaufort  2006  2  281.5  161.4   Rural
Idaho  idaho  1995  1  1.8  0.9   Rural
Mississippi  pearl river  2004  1  68.9  29.6   Rural
Georgia  bryan  2008  1  69.3  27.2   Rural
New Jersey  hunterdon  1991  1  283.7  104.7   Rural
New Mexico  chaves  2000  2  10.1  4.2   Rural
Oregon  clackamas  1996  2  181.1  73.3   Rural
South Carolina  berkeley  2003  4  161.8  66.8   Rural
